what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263826210390
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263826210500
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1263826210734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263826215390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263826218609
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1263826220703
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263826220718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263826233671
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263826242109
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263826250437
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263827259078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263827285546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263827300625
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1263827305859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263827309000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263827313125
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1263827313171
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1263827313171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263827318734
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263827328593
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263827338468
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263827340765
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263827346859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263827362687
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263827363484
