what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1263891802437
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1263891802468
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1263891802781
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1263891802968
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1263891803125
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1263891803328
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263891919656
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263891927515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263891960750
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263892036093
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1263892064531
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1263892100375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263892225500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263892626937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263892720734
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263892756562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263892771765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263892828484
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263892886078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263892928109
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263892943687
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263893028500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263893110687
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1263893468421
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1263893506796
