what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595016453
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595019796
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264595020359
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264595020890
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595191828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595208937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595332593
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595471718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595524750
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595524968
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595692453
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595882718
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1264595887343
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595892671
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595906187
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264595906625
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264595906875
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1264595909375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595991656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264595992000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264596125015
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264596131796
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264596259687
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264596276375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264596310078
